epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8198,3.60427,5.16684,4.09077,0.00231,0.02015,0.00129,0.00033,3.39526,20.1621,4.27178,0.0700822,0.0033242,0.0033242
2,62.9211,3.45047,4.7244,3.6949,0.28301,0.06277,0.0268,0.00924,2.90182,3.89628,3.43175,0.0399504,0.00652572,0.00652572
3,92.8215,3.00615,4.24919,3.20706,0.17382,0.16706,0.08621,0.03016,2.43467,3.29219,2.88615,0.00968655,0.00959523,0.00959523
4,122.896,2.62881,3.87252,2.82377,0.21133,0.24348,0.12242,0.04942,2.20437,3.86951,2.64117,0.009406,0.009406,0.009406
5,153.472,2.30556,3.54171,2.53377,0.17894,0.34164,0.19197,0.09069,1.90431,2.71757,2.30481,0.009208,0.009208,0.009208
6,183.886,2.14322,3.37056,2.37614,0.29712,0.3196,0.23438,0.11553,1.87777,2.72682,2.2928,0.00901,0.00901,0.00901
7,215.625,2.00499,3.2039,2.24584,0.19704,0.39934,0.27241,0.13634,1.74587,2.58388,2.11317,0.008812,0.008812,0.008812
8,247.75,1.94501,3.08836,2.17266,0.33025,0.40276,0.29402,0.15861,1.65218,2.43013,2.03199,0.008614,0.008614,0.008614
9,279.85,1.82019,2.95975,2.06944,0.3371,0.49522,0.3743,0.1939,1.60478,2.21926,1.98542,0.008416,0.008416,0.008416
10,310.371,1.8093,2.94803,2.03848,0.30408,0.4774,0.37657,0.21204,1.54693,2.18533,1.90509,0.008218,0.008218,0.008218
11,341.423,1.74089,2.80148,1.98673,0.39904,0.4474,0.4104,0.23213,1.48242,2.16323,1.86804,0.00802,0.00802,0.00802
12,372.833,1.73603,2.76367,1.96244,0.34716,0.53713,0.41187,0.24084,1.42873,2.35027,1.79521,0.007822,0.007822,0.007822
13,404.369,1.70351,2.66808,1.92114,0.37195,0.52266,0.43563,0.23956,1.50392,1.94858,1.84745,0.007624,0.007624,0.007624
14,436.105,1.64656,2.6123,1.87214,0.40069,0.58492,0.47389,0.28592,1.4184,1.98037,1.77092,0.007426,0.007426,0.007426
15,468.063,1.63875,2.57336,1.86847,0.41636,0.60621,0.49539,0.28711,1.40767,2.01322,1.76576,0.007228,0.007228,0.007228
16,499.037,1.605,2.52002,1.84474,0.43427,0.56088,0.50704,0.30863,1.39952,1.87513,1.73443,0.00703,0.00703,0.00703
17,530.46,1.57909,2.45304,1.80786,0.49263,0.5583,0.5397,0.33391,1.35193,1.76593,1.68473,0.006832,0.006832,0.006832
18,562.537,1.60832,2.4956,1.82517,0.43589,0.63481,0.53124,0.32233,1.39451,1.7812,1.72989,0.006634,0.006634,0.006634
19,593.942,1.56052,2.36532,1.77765,0.5012,0.55492,0.5641,0.34691,1.31156,1.67598,1.65273,0.006436,0.006436,0.006436
20,625.339,1.55832,2.39125,1.79123,0.48993,0.58453,0.56432,0.34913,1.33095,1.73414,1.6723,0.006238,0.006238,0.006238
21,656.085,1.51246,2.31654,1.7535,0.57005,0.56822,0.59172,0.38219,1.29976,1.68019,1.62721,0.00604,0.00604,0.00604
22,687.037,1.48861,2.26634,1.73018,0.55189,0.65853,0.61999,0.40633,1.28782,1.59803,1.63455,0.005842,0.005842,0.005842
23,718.154,1.48372,2.26541,1.73529,0.57188,0.64244,0.62839,0.41136,1.27377,1.43075,1.62105,0.005644,0.005644,0.005644
24,748.566,1.47984,2.25392,1.71871,0.64512,0.63324,0.65172,0.43604,1.23448,1.37027,1.58414,0.005446,0.005446,0.005446
25,779.565,1.4677,2.21551,1.7038,0.59827,0.63087,0.62824,0.41858,1.22898,1.61622,1.58116,0.005248,0.005248,0.005248
26,811.009,1.46008,2.21886,1.71694,0.58189,0.6449,0.63988,0.42561,1.2341,1.45039,1.57109,0.00505,0.00505,0.00505
27,843.864,1.41582,2.11628,1.66121,0.6362,0.65082,0.68054,0.45331,1.22312,1.45011,1.57547,0.004852,0.004852,0.004852
28,876.003,1.41246,2.11752,1.64974,0.63302,0.66862,0.71516,0.47181,1.22675,1.34657,1.56743,0.004654,0.004654,0.004654
29,908.368,1.42541,2.09341,1.6588,0.632,0.69771,0.70569,0.47075,1.21419,1.40145,1.55672,0.004456,0.004456,0.004456
30,939.656,1.40315,2.08247,1.65608,0.61839,0.71657,0.67706,0.44345,1.23061,1.42128,1.55304,0.004258,0.004258,0.004258
31,970.311,1.40733,2.07894,1.65032,0.61509,0.70917,0.69559,0.47023,1.18787,1.41478,1.52237,0.00406,0.00406,0.00406
32,1002.08,1.38602,2.01151,1.63057,0.73041,0.6706,0.7467,0.50659,1.191,1.22989,1.53745,0.003862,0.003862,0.003862
33,1034.32,1.38042,2.00531,1.61707,0.65874,0.68105,0.71338,0.47836,1.17585,1.44283,1.51901,0.003664,0.003664,0.003664
34,1064.81,1.35463,1.96793,1.60942,0.64499,0.76265,0.73933,0.494,1.19336,1.22711,1.54861,0.003466,0.003466,0.003466
35,1095.36,1.34298,1.93266,1.60456,0.75746,0.68911,0.76802,0.52536,1.15627,1.186,1.50535,0.003268,0.003268,0.003268
36,1125.84,1.33858,1.94391,1.60034,0.73101,0.705,0.75096,0.52121,1.13939,1.25204,1.48669,0.00307,0.00307,0.00307
37,1156.05,1.35594,1.95489,1.60516,0.74351,0.77666,0.78021,0.52969,1.13966,1.14052,1.49767,0.002872,0.002872,0.002872
38,1188.14,1.29928,1.86844,1.56725,0.75447,0.70284,0.76142,0.53761,1.10947,1.17875,1.48421,0.002674,0.002674,0.002674
39,1219.85,1.30268,1.85029,1.56763,0.71626,0.76377,0.77798,0.54929,1.12137,1.12979,1.47334,0.002476,0.002476,0.002476
40,1249.79,1.31439,1.84758,1.57126,0.7293,0.6975,0.75753,0.53101,1.10838,1.1583,1.46131,0.002278,0.002278,0.002278
41,1283.41,1.20486,1.63326,1.52529,0.76221,0.78194,0.80352,0.56276,1.10785,1.05552,1.47512,0.00208,0.00208,0.00208
42,1313.47,1.18789,1.58061,1.51073,0.77438,0.77302,0.80243,0.56959,1.08053,1.04452,1.44678,0.001882,0.001882,0.001882
43,1346.04,1.18342,1.55095,1.50033,0.76374,0.78213,0.81088,0.56498,1.0954,1.01574,1.44885,0.001684,0.001684,0.001684
44,1378.94,1.17292,1.5357,1.48823,0.7948,0.79081,0.83725,0.59156,1.07981,1.00533,1.43595,0.001486,0.001486,0.001486
45,1411.49,1.15348,1.50775,1.48163,0.81939,0.78465,0.83772,0.60002,1.06856,0.99399,1.44362,0.001288,0.001288,0.001288
46,1442.52,1.14657,1.47774,1.47769,0.80999,0.80405,0.83765,0.60588,1.06853,0.99053,1.43031,0.00109,0.00109,0.00109
