epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5408,3.61184,5.15719,4.03234,0.00182,0.07284,0.00072,0.00017,3.40159,inf,5.57033,0.0700412,0.00332876,0.00332876
2,107.807,3.46059,4.77082,3.68078,0.15231,0.11399,0.01261,0.00391,2.82574,7.07795,3.57973,0.0399092,0.00653018,0.00653018
3,159.336,2.98822,4.32373,3.20922,0.01973,0.28043,0.03893,0.01159,2.56409,15.5338,3.24445,0.00964533,0.00959961,0.00959961
4,210.562,2.64884,4.0264,2.88289,0.26905,0.22167,0.08428,0.03425,2.1881,5.45733,2.67409,0.009406,0.009406,0.009406
5,261.628,2.36885,3.70785,2.61864,0.3839,0.27217,0.1701,0.0792,1.94726,2.76477,2.38902,0.009208,0.009208,0.009208
6,312.613,2.19805,3.54197,2.45955,0.16921,0.23747,0.1681,0.08235,1.84821,3.10467,2.32292,0.00901,0.00901,0.00901
7,364.358,2.04321,3.32147,2.34075,0.18654,0.35676,0.26564,0.13085,1.70909,2.4982,2.19638,0.008812,0.008812,0.008812
8,416.282,1.98102,3.26391,2.2604,0.2918,0.40679,0.25879,0.13293,1.633,2.64784,2.06934,0.008614,0.008614,0.008614
9,469.254,1.89092,3.13349,2.18428,0.31143,0.34725,0.27984,0.15038,1.60447,2.56087,2.03854,0.008416,0.008416,0.008416
10,520.772,1.8701,3.09186,2.15406,0.30229,0.46543,0.3447,0.19058,1.55359,2.16911,1.97141,0.008218,0.008218,0.008218
11,573.006,1.79613,2.95184,2.07912,0.36405,0.42895,0.35907,0.20602,1.48367,2.25931,1.90813,0.00802,0.00802,0.00802
12,625.633,1.76391,2.91934,2.04568,0.34732,0.48065,0.35259,0.20791,1.4325,2.3173,1.85273,0.007822,0.007822,0.007822
13,677.41,1.73262,2.81017,1.99678,0.43694,0.41508,0.41293,0.2496,1.42546,2.00051,1.84217,0.007624,0.007624,0.007624
14,730.217,1.69252,2.7813,1.96485,0.34913,0.58188,0.42015,0.25522,1.40314,2.28841,1.79374,0.007426,0.007426,0.007426
15,783.076,1.68656,2.78692,1.96349,0.43066,0.5154,0.4304,0.26095,1.40762,2.06074,1.82049,0.007228,0.007228,0.007228
16,835.724,1.61859,2.67383,1.91188,0.39523,0.55112,0.45291,0.27507,1.38638,2.12983,1.77674,0.00703,0.00703,0.00703
17,892.338,1.63365,2.62746,1.89678,0.44356,0.55477,0.45957,0.27919,1.37251,2.04798,1.7796,0.006832,0.006832,0.006832
18,953.878,1.59168,2.59065,1.8701,0.39339,0.53865,0.46765,0.28806,1.32438,2.04311,1.73303,0.006634,0.006634,0.006634
19,1008.86,1.59175,2.54987,1.87385,0.52864,0.48756,0.51818,0.32978,1.32683,1.88922,1.74016,0.006436,0.006436,0.006436
20,1066.56,1.58111,2.55343,1.87199,0.48051,0.56792,0.51174,0.32109,1.32688,1.69259,1.7436,0.006238,0.006238,0.006238
21,1122.76,1.58046,2.52593,1.85255,0.43841,0.58357,0.49976,0.31644,1.3133,1.78152,1.7406,0.00604,0.00604,0.00604
22,1190.54,1.56242,2.45908,1.84857,0.47456,0.62264,0.53791,0.33801,1.30544,2.25056,1.7094,0.005842,0.005842,0.005842
23,1245.55,1.53913,2.42342,1.81171,0.50387,0.61394,0.57201,0.36867,1.2766,1.76329,1.67403,0.005644,0.005644,0.005644
24,1302.15,1.48612,2.33857,1.78974,0.48766,0.63138,0.54656,0.35188,1.27182,1.84137,1.67396,0.005446,0.005446,0.005446
25,1359.58,1.52598,2.37059,1.81075,0.53049,0.66663,0.59347,0.38482,1.2315,1.75504,1.63935,0.005248,0.005248,0.005248
26,1417.5,1.50002,2.3709,1.79348,0.49459,0.65551,0.55757,0.35587,1.26403,2.04906,1.64858,0.00505,0.00505,0.00505
27,1482.35,1.47737,2.28969,1.76128,0.51749,0.65117,0.58154,0.38979,1.21669,1.98009,1.61481,0.004852,0.004852,0.004852
28,1538.01,1.4487,2.25566,1.73927,0.56576,0.647,0.60085,0.3895,1.25454,1.74396,1.66256,0.004654,0.004654,0.004654
29,1602.29,1.47057,2.26705,1.7574,0.52129,0.66732,0.60882,0.41189,1.20061,1.54566,1.59501,0.004456,0.004456,0.004456
30,1659.33,1.445,2.21911,1.73827,0.57601,0.66884,0.64377,0.43486,1.17723,1.65968,1.59931,0.004258,0.004258,0.004258
31,1716.29,1.42722,2.20898,1.71816,0.56758,0.66141,0.62287,0.42234,1.19112,1.50538,1.57392,0.00406,0.00406,0.00406
32,1783.18,1.43336,2.20471,1.73225,0.62462,0.66756,0.65888,0.4367,1.19153,1.39961,1.60153,0.003862,0.003862,0.003862
33,1846.54,1.42672,2.178,1.71652,0.56734,0.68686,0.62747,0.41822,1.20881,1.70485,1.60204,0.003664,0.003664,0.003664
34,1906.98,1.41672,2.19525,1.713,0.58512,0.70269,0.65084,0.4396,1.16931,1.73162,1.57775,0.003466,0.003466,0.003466
35,1971.87,1.38793,2.09253,1.68346,0.57989,0.69914,0.65305,0.45006,1.14346,1.59534,1.54115,0.003268,0.003268,0.003268
36,2034.45,1.38696,2.10619,1.68795,0.58441,0.71497,0.6698,0.46565,1.16209,1.48823,1.56592,0.00307,0.00307,0.00307
37,2095.18,1.40051,2.09673,1.69624,0.59769,0.74185,0.67366,0.46477,1.12402,1.42951,1.52681,0.002872,0.002872,0.002872
38,2151.61,1.37209,2.06101,1.67187,0.57943,0.73216,0.67393,0.46957,1.15442,1.46244,1.54379,0.002674,0.002674,0.002674
39,2202.2,1.35449,2.02899,1.65501,0.65459,0.72869,0.70039,0.48735,1.13432,1.3484,1.53617,0.002476,0.002476,0.002476
40,2253.59,1.33891,1.99789,1.65058,0.58575,0.69806,0.68115,0.47489,1.13022,1.34832,1.5211,0.002278,0.002278,0.002278
41,2306.41,1.25906,1.79294,1.62678,0.63899,0.72437,0.71464,0.50385,1.12103,1.2615,1.5357,0.00208,0.00208,0.00208
42,2359.21,1.23439,1.74045,1.6043,0.6411,0.79331,0.7192,0.50179,1.11532,1.24166,1.52718,0.001882,0.001882,0.001882
43,2419.03,1.24089,1.72464,1.59054,0.6426,0.76032,0.72123,0.50147,1.09039,1.23321,1.50639,0.001684,0.001684,0.001684
44,2472.5,1.22395,1.693,1.5969,0.65667,0.77785,0.73807,0.53189,1.06212,1.23539,1.47344,0.001486,0.001486,0.001486
45,2531.27,1.20598,1.65026,1.58219,0.68173,0.75801,0.73859,0.53758,1.07058,1.19315,1.47985,0.001288,0.001288,0.001288
46,2586.7,1.20245,1.63713,1.57208,0.69858,0.74585,0.74227,0.53393,1.06762,1.19657,1.48254,0.00109,0.00109,0.00109
47,2649.16,1.18136,1.60018,1.55375,0.67988,0.80432,0.74973,0.53615,1.05884,1.21834,1.47052,0.000892,0.000892,0.000892
48,2709.19,1.18173,1.60306,1.55185,0.70009,0.78667,0.76543,0.5475,1.05782,1.13637,1.46805,0.000694,0.000694,0.000694
49,2764.97,1.16719,1.61402,1.53502,0.70208,0.77157,0.75717,0.552,1.03947,1.14134,1.45353,0.000496,0.000496,0.000496
50,2827.78,1.15653,1.55453,1.52578,0.69192,0.79201,0.75533,0.54862,1.03693,1.18039,1.45032,0.000298,0.000298,0.000298
