epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2805,3.63165,5.15465,4.08731,0.31338,0.01444,0.00058,0.00014,3.44121,48.699,4.76936,0.0700532,0.00332742,0.00332742
2,91.1302,3.51505,4.77696,3.78019,0.00441,0.15865,0.00369,0.00104,3.00844,64.3672,3.86874,0.0399213,0.00652887,0.00652887
3,135.006,3.06811,4.31894,3.35113,0.38533,0.0269,0.0133,0.0031,2.80216,17.2154,3.46497,0.00965743,0.00959832,0.00959832
4,175.508,2.68084,3.89503,2.93034,0.33275,0.17983,0.1132,0.04377,2.33738,3.15357,2.76268,0.009406,0.009406,0.009406
5,215.807,2.44404,3.61645,2.67764,0.13744,0.19282,0.10324,0.04249,2.13043,3.1586,2.68157,0.009208,0.009208,0.009208
6,259.422,2.25848,3.32555,2.51365,0.31516,0.30561,0.19066,0.08446,2.02517,2.9671,2.46328,0.00901,0.00901,0.00901
7,302.518,2.11481,3.19255,2.38959,0.27426,0.43887,0.22713,0.1016,1.81222,2.74008,2.26182,0.008812,0.008812,0.008812
8,344.593,1.9968,3.0353,2.27038,0.30126,0.43694,0.2763,0.13617,1.76658,2.46852,2.18162,0.008614,0.008614,0.008614
9,388.347,1.89468,2.86058,2.18312,0.30133,0.38365,0.31865,0.16101,1.65537,2.29459,2.07088,0.008416,0.008416,0.008416
10,429.439,1.82344,2.76697,2.12716,0.2576,0.39139,0.30321,0.16167,1.65476,2.44253,2.08947,0.008218,0.008218,0.008218
11,470.714,1.74312,2.68644,2.04466,0.31638,0.39122,0.33152,0.17531,1.57447,3.45635,2.00812,0.00802,0.00802,0.00802
12,514.804,1.75056,2.62301,2.04344,0.37836,0.36136,0.34038,0.19223,1.54538,3.07906,1.94098,0.007822,0.007822,0.007822
13,556.036,1.70076,2.55928,2.01658,0.36982,0.44901,0.41654,0.24241,1.5128,2.36046,1.90781,0.007624,0.007624,0.007624
14,597.36,1.67558,2.47891,1.98054,0.43184,0.45419,0.42908,0.24897,1.47696,1.94906,1.85738,0.007426,0.007426,0.007426
15,639.589,1.60602,2.37938,1.91059,0.39841,0.55251,0.43858,0.25597,1.4519,2.23482,1.86212,0.007228,0.007228,0.007228
16,680.593,1.58969,2.36165,1.88162,0.44731,0.56152,0.49554,0.29748,1.41011,1.69862,1.82029,0.00703,0.00703,0.00703
17,720.332,1.58115,2.28718,1.88399,0.46553,0.50076,0.46922,0.28971,1.36217,2.1552,1.77979,0.006832,0.006832,0.006832
18,761.122,1.55642,2.26675,1.85757,0.46048,0.53624,0.48381,0.29919,1.34122,1.8799,1.72838,0.006634,0.006634,0.006634
19,803.414,1.52547,2.22708,1.83875,0.50398,0.54051,0.52786,0.33506,1.3372,1.76822,1.73933,0.006436,0.006436,0.006436
20,845.255,1.51588,2.1904,1.81579,0.48797,0.54794,0.52627,0.3326,1.31966,1.77522,1.71423,0.006238,0.006238,0.006238
21,884.911,1.50435,2.18185,1.81314,0.55846,0.55451,0.54274,0.33311,1.33562,1.66827,1.75168,0.00604,0.00604,0.00604
22,925.749,1.48875,2.16431,1.79707,0.48261,0.61301,0.53755,0.33421,1.31378,1.84986,1.73089,0.005842,0.005842,0.005842
23,965.788,1.45663,2.0833,1.77136,0.49593,0.55136,0.55384,0.34946,1.30272,1.79013,1.69482,0.005644,0.005644,0.005644
24,1006.05,1.46125,2.09391,1.77883,0.44573,0.62657,0.52745,0.3384,1.26847,1.87571,1.66108,0.005446,0.005446,0.005446
25,1047.03,1.42579,2.03134,1.75464,0.56051,0.54796,0.58612,0.37117,1.2796,1.94784,1.67278,0.005248,0.005248,0.005248
26,1087.54,1.41692,1.99353,1.72733,0.49987,0.66342,0.59455,0.37637,1.28003,1.79082,1.6765,0.00505,0.00505,0.00505
27,1128.69,1.42204,2.0016,1.73976,0.56596,0.61893,0.59149,0.39306,1.23026,1.51146,1.64625,0.004852,0.004852,0.004852
28,1170.42,1.40428,1.98659,1.72096,0.57363,0.63283,0.6134,0.40732,1.23191,1.46454,1.62127,0.004654,0.004654,0.004654
29,1212.37,1.38559,1.93598,1.70313,0.54239,0.61345,0.59623,0.38824,1.2334,1.76747,1.63866,0.004456,0.004456,0.004456
30,1252.84,1.39419,1.92223,1.72146,0.5428,0.6856,0.61611,0.39513,1.22474,1.62889,1.62031,0.004258,0.004258,0.004258
31,1292.7,1.36931,1.88718,1.687,0.56985,0.66893,0.63656,0.42343,1.20229,1.49178,1.6001,0.00406,0.00406,0.00406
32,1334.64,1.36396,1.86764,1.68697,0.60349,0.70348,0.65984,0.43849,1.19512,1.38548,1.61006,0.003862,0.003862,0.003862
33,1375.66,1.3603,1.85525,1.69708,0.5881,0.64548,0.62325,0.41959,1.1775,1.72884,1.59093,0.003664,0.003664,0.003664
34,1417.43,1.36381,1.82654,1.68228,0.60277,0.66196,0.66613,0.44051,1.18513,1.42602,1.5915,0.003466,0.003466,0.003466
35,1457.78,1.34229,1.80117,1.65401,0.55079,0.69022,0.6337,0.42378,1.17653,1.55749,1.57173,0.003268,0.003268,0.003268
36,1498.32,1.32099,1.82162,1.6412,0.62845,0.67811,0.66766,0.45863,1.1608,1.42736,1.55108,0.00307,0.00307,0.00307
37,1538.77,1.31209,1.78305,1.6303,0.64059,0.708,0.67338,0.45224,1.16324,1.33164,1.5633,0.002872,0.002872,0.002872
38,1579.49,1.30686,1.78085,1.6323,0.57311,0.74176,0.68256,0.46545,1.15896,1.39217,1.56111,0.002674,0.002674,0.002674
39,1619.96,1.27432,1.7036,1.61312,0.62445,0.7103,0.68377,0.46893,1.13092,1.5196,1.53646,0.002476,0.002476,0.002476
40,1661.06,1.27498,1.70344,1.60393,0.65413,0.74941,0.71914,0.50081,1.11806,1.2821,1.54363,0.002278,0.002278,0.002278
41,1703.83,1.17929,1.46107,1.57435,0.69915,0.76002,0.73238,0.50775,1.10693,1.15205,1.52596,0.00208,0.00208,0.00208
42,1743.86,1.18005,1.43303,1.56119,0.69874,0.77206,0.73672,0.50983,1.12112,1.21821,1.54006,0.001882,0.001882,0.001882
43,1784.19,1.15379,1.39242,1.55958,0.71327,0.74325,0.75054,0.52904,1.11037,1.1426,1.52314,0.001684,0.001684,0.001684
44,1825.37,1.1351,1.37142,1.53294,0.70243,0.78223,0.74805,0.53017,1.08196,1.12296,1.49295,0.001486,0.001486,0.001486
45,1865.82,1.11672,1.33302,1.50225,0.68703,0.78416,0.77172,0.54132,1.09737,1.12147,1.50873,0.001288,0.001288,0.001288
46,1905.48,1.09877,1.32154,1.51382,0.73901,0.77347,0.75506,0.53828,1.08147,1.11146,1.5059,0.00109,0.00109,0.00109
47,1944.82,1.09157,1.29824,1.49309,0.76013,0.75532,0.76039,0.54096,1.08168,1.10861,1.49298,0.000892,0.000892,0.000892
48,1985.75,1.07806,1.27665,1.49015,0.74416,0.76704,0.77773,0.56264,1.07003,1.07272,1.48034,0.000694,0.000694,0.000694
49,2026.13,1.07573,1.27367,1.49181,0.77368,0.7608,0.78054,0.56702,1.05858,1.04308,1.48342,0.000496,0.000496,0.000496
50,2066.89,1.06791,1.26535,1.47938,0.77167,0.77028,0.77819,0.56421,1.05566,1.04445,1.48563,0.000298,0.000298,0.000298
