epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.923,3.60729,5.20542,4.05964,0.00058,0.07989,0.00035,0.00012,3.49553,inf,6.92546,0.0701176,0.00332026,0.00332026
2,46.2433,3.43425,4.80989,3.63393,0.06837,0.21151,0.01025,0.00266,2.9306,12.6876,3.65096,0.0399859,0.00652185,0.00652185
3,67.3914,2.91919,4.33012,3.11468,0.1943,0.22511,0.08379,0.03223,2.37445,5.03859,3.02032,0.00972216,0.00959145,0.00959145
4,88.3338,2.53037,4.01712,2.75073,0.28295,0.23348,0.13092,0.05443,2.08548,3.04458,2.51248,0.009406,0.009406,0.009406
5,109.57,2.25675,3.71526,2.46706,0.22071,0.27942,0.1964,0.09347,1.93508,3.45546,2.32391,0.009208,0.009208,0.009208
6,131.039,2.07288,3.48938,2.30923,0.26118,0.34774,0.25549,0.12311,1.78636,2.46941,2.14286,0.00901,0.00901,0.00901
7,152.776,1.96736,3.35747,2.1997,0.30859,0.40152,0.26428,0.13576,1.66955,3.20022,2.07887,0.008812,0.008812,0.008812
8,174.659,1.89924,3.22451,2.11451,0.31161,0.42923,0.3497,0.19689,1.52434,2.68162,1.97738,0.008614,0.008614,0.008614
9,196.845,1.84488,3.14287,2.05474,0.31302,0.45831,0.36201,0.20415,1.53876,2.11208,1.91204,0.008416,0.008416,0.008416
10,219.362,1.77897,3.01168,1.99955,0.37243,0.43333,0.39686,0.23203,1.45018,2.0346,1.86318,0.008218,0.008218,0.008218
11,241.987,1.7716,2.99656,1.98838,0.44753,0.4596,0.45833,0.26752,1.46512,1.84826,1.85209,0.00802,0.00802,0.00802
12,265.184,1.73196,2.90857,1.93848,0.44208,0.52063,0.46688,0.28236,1.43898,1.94638,1.83017,0.007822,0.007822,0.007822
13,289.26,1.68466,2.82141,1.89662,0.38869,0.54849,0.48079,0.29296,1.41417,1.85633,1.78507,0.007624,0.007624,0.007624
14,313.821,1.65845,2.77083,1.87165,0.46439,0.53847,0.54501,0.339,1.36816,1.7204,1.73122,0.007426,0.007426,0.007426
15,338.398,1.62665,2.70608,1.84852,0.5086,0.57867,0.55979,0.347,1.35673,1.73927,1.75184,0.007228,0.007228,0.007228
16,363.008,1.61379,2.64348,1.83369,0.52582,0.53871,0.57723,0.36826,1.3088,1.60786,1.70156,0.00703,0.00703,0.00703
17,387.933,1.6116,2.64868,1.83385,0.53735,0.6231,0.6084,0.36925,1.34202,1.59935,1.73746,0.006832,0.006832,0.006832
18,413.562,1.58589,2.58851,1.81491,0.56241,0.55019,0.61534,0.39956,1.24497,1.54995,1.65299,0.006634,0.006634,0.006634
19,441.369,1.56447,2.57599,1.78541,0.59093,0.57432,0.6103,0.38524,1.25847,1.5338,1.65497,0.006436,0.006436,0.006436
