epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.487,3.67458,5.22675,3.94359,0.25202,0.00662,0.00167,0.00045,3.24131,5.40342,3.97025,0.0700294,0.00333006,0.00333006
2,151.045,3.43116,4.83194,3.49662,0.53362,0.04062,0.04151,0.01422,2.88228,4.54806,3.35441,0.0398975,0.00653146,0.00653146
3,223.045,2.97476,4.43196,3.07074,0.17332,0.18812,0.0513,0.02134,2.43893,4.80332,2.82451,0.00963357,0.00960086,0.00960086
4,293.657,2.57183,4.14029,2.70302,0.25135,0.1791,0.12876,0.06379,2.03567,3.18396,2.44233,0.009406,0.009406,0.009406
5,366.745,2.25904,3.86936,2.43003,0.22899,0.30495,0.18652,0.08655,1.86607,2.85076,2.22062,0.009208,0.009208,0.009208
6,440.573,2.12241,3.72264,2.27503,0.20263,0.30022,0.20962,0.10895,1.74798,2.63427,2.11673,0.00901,0.00901,0.00901
7,510.872,2.02703,3.58521,2.19281,0.27752,0.36275,0.26218,0.14325,1.68509,2.5532,2.08968,0.008812,0.008812,0.008812
8,581.35,1.96698,3.44419,2.1246,0.2546,0.34934,0.27532,0.14435,1.62288,2.4578,2.01484,0.008614,0.008614,0.008614
9,651.931,1.88638,3.286,2.06385,0.25773,0.46475,0.29576,0.17172,1.54055,2.50389,1.91487,0.008416,0.008416,0.008416
10,723.916,1.85227,3.27785,2.02042,0.40625,0.47263,0.40365,0.23411,1.49636,2.19884,1.90529,0.008218,0.008218,0.008218
11,796.834,1.84689,3.21094,2.01026,0.44628,0.41853,0.37143,0.21515,1.50059,2.54136,1.86829,0.00802,0.00802,0.00802
12,868.702,1.78876,3.14266,1.97087,0.44638,0.44011,0.3805,0.22805,1.45314,2.45451,1.81556,0.007822,0.007822,0.007822
13,941.773,1.74191,3.054,1.94485,0.42199,0.44907,0.4039,0.24029,1.46886,2.04049,1.85128,0.007624,0.007624,0.007624
14,1013.57,1.71913,3.00586,1.90681,0.42582,0.49698,0.43696,0.2642,1.40797,2.38176,1.80111,0.007426,0.007426,0.007426
15,1083.45,1.72312,2.99834,1.90971,0.36,0.59862,0.42473,0.24917,1.38528,2.49301,1.76911,0.007228,0.007228,0.007228
16,1155.03,1.69288,2.93284,1.8829,0.40513,0.56184,0.46506,0.28808,1.34636,1.93039,1.7377,0.00703,0.00703,0.00703
17,1226.29,1.66441,2.87413,1.86212,0.42705,0.56047,0.49788,0.3181,1.32378,1.80437,1.7318,0.006832,0.006832,0.006832
18,1297.2,1.66664,2.90312,1.85434,0.4605,0.54596,0.48615,0.29751,1.31916,2.03338,1.71331,0.006634,0.006634,0.006634
19,1369.74,1.63419,2.79414,1.82518,0.47188,0.55917,0.50673,0.32071,1.30345,1.95824,1.68245,0.006436,0.006436,0.006436
20,1443.13,1.62579,2.77856,1.81674,0.48317,0.63274,0.54887,0.34869,1.31366,1.79309,1.7008,0.006238,0.006238,0.006238
21,1517.74,1.63076,2.80244,1.81448,0.46221,0.57458,0.54215,0.33046,1.32791,1.74332,1.70341,0.00604,0.00604,0.00604
22,1588.64,1.58839,2.70364,1.79341,0.51157,0.58498,0.54349,0.34347,1.29518,2.13225,1.67119,0.005842,0.005842,0.005842
23,1659.78,1.58749,2.66901,1.77402,0.5014,0.68334,0.57095,0.37283,1.23544,1.79566,1.60988,0.005644,0.005644,0.005644
24,1730.97,1.5767,2.66567,1.77074,0.52799,0.67423,0.58247,0.37795,1.23621,1.69288,1.6039,0.005446,0.005446,0.005446
25,1801.9,1.56142,2.63131,1.76996,0.57401,0.65856,0.63437,0.41544,1.24685,1.56858,1.61935,0.005248,0.005248,0.005248
26,1872.47,1.5485,2.60409,1.74477,0.53455,0.68337,0.61324,0.40084,1.24299,1.64978,1.60693,0.00505,0.00505,0.00505
27,1943.15,1.5385,2.57097,1.74991,0.48986,0.68904,0.57508,0.38219,1.22084,1.75814,1.60141,0.004852,0.004852,0.004852
28,2013.42,1.52588,2.55753,1.73495,0.53443,0.65336,0.59066,0.38543,1.22573,2.01673,1.59955,0.004654,0.004654,0.004654
29,2085.25,1.52,2.54108,1.7275,0.5831,0.64438,0.6469,0.43699,1.19415,1.61911,1.57101,0.004456,0.004456,0.004456
30,2156.58,1.50376,2.50214,1.72223,0.58727,0.65633,0.64598,0.44084,1.15648,1.54588,1.55075,0.004258,0.004258,0.004258
31,2227.86,1.4788,2.4669,1.69975,0.60388,0.68126,0.66224,0.44651,1.17331,1.65831,1.56007,0.00406,0.00406,0.00406
32,2299.45,1.49816,2.49001,1.70384,0.59789,0.71532,0.6489,0.43635,1.17883,1.54054,1.54968,0.003862,0.003862,0.003862
33,2370.6,1.47865,2.46009,1.69217,0.57115,0.72515,0.63156,0.42187,1.1715,1.71711,1.55339,0.003664,0.003664,0.003664
34,2444.8,1.46538,2.43145,1.68615,0.61782,0.69484,0.67059,0.45939,1.14844,1.51196,1.52528,0.003466,0.003466,0.003466
35,2516.45,1.45635,2.36061,1.66713,0.59277,0.71887,0.65834,0.45258,1.14937,1.4551,1.53558,0.003268,0.003268,0.003268
36,2587.89,1.44699,2.39406,1.67271,0.60809,0.69562,0.65136,0.45115,1.13251,1.62006,1.50535,0.00307,0.00307,0.00307
37,2658.98,1.4267,2.33654,1.64822,0.61767,0.70602,0.6792,0.4646,1.14138,1.44638,1.53363,0.002872,0.002872,0.002872
38,2730.09,1.42511,2.31745,1.65027,0.63373,0.76646,0.6934,0.47556,1.14738,1.39281,1.53279,0.002674,0.002674,0.002674
39,2800.71,1.4194,2.3025,1.64089,0.655,0.74897,0.71861,0.50064,1.13957,1.29254,1.51705,0.002476,0.002476,0.002476
40,2872.21,1.42648,2.29777,1.65556,0.71824,0.72908,0.77337,0.54229,1.12144,1.21591,1.51177,0.002278,0.002278,0.002278
41,2943.95,1.37201,2.12894,1.62317,0.68247,0.7554,0.72908,0.51379,1.0813,1.29867,1.48555,0.00208,0.00208,0.00208
42,3014.77,1.35085,2.0435,1.61607,0.76776,0.72389,0.7766,0.55206,1.08264,1.21677,1.47313,0.001882,0.001882,0.001882
43,3086.54,1.32531,2.01496,1.59442,0.71991,0.7437,0.77136,0.54867,1.08102,1.18755,1.47257,0.001684,0.001684,0.001684
44,3158.5,1.32496,1.97593,1.58757,0.67947,0.79356,0.74954,0.53538,1.0707,1.24325,1.46903,0.001486,0.001486,0.001486
45,3229.93,1.30892,1.94385,1.57558,0.71437,0.76188,0.7575,0.53947,1.06959,1.22087,1.47114,0.001288,0.001288,0.001288
46,3300.97,1.30161,1.92337,1.57316,0.73506,0.78026,0.77105,0.55424,1.07116,1.15958,1.47163,0.00109,0.00109,0.00109
47,3372.85,1.28442,1.91163,1.55473,0.71058,0.79147,0.76978,0.55472,1.06552,1.19762,1.45771,0.000892,0.000892,0.000892
48,3443.98,1.28204,1.88299,1.55714,0.73278,0.81054,0.78669,0.57153,1.04654,1.13209,1.44412,0.000694,0.000694,0.000694
49,3515.15,1.28372,1.88933,1.5533,0.70102,0.80735,0.77204,0.56044,1.03342,1.15018,1.43451,0.000496,0.000496,0.000496
50,3586.03,1.27023,1.86555,1.54922,0.71171,0.80909,0.78339,0.56928,1.04245,1.1415,1.44183,0.000298,0.000298,0.000298
