epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2303,3.55456,5.15501,4.11585,0.00042,0.03514,0.00053,0.00015,3.30662,4.72557,4.0732,0.0701064,0.00332151,0.00332151
2,39.3189,3.44658,4.72748,3.75954,0.07056,0.13019,0.00555,0.00171,2.90799,15.6848,3.71115,0.0399746,0.00652308,0.00652308
3,58.9505,2.97162,4.13096,3.24405,0.13871,0.10184,0.01969,0.00556,2.59905,5.12717,3.11185,0.00971085,0.00959265,0.00959265
4,78.5792,2.59757,3.69543,2.85881,0.23504,0.19345,0.13125,0.05189,2.23366,3.13849,2.69897,0.009406,0.009406,0.009406
5,98.1617,2.30964,3.3963,2.57308,0.16133,0.312,0.14891,0.06029,2.0304,3.14875,2.463,0.009208,0.009208,0.009208
6,118.881,2.11318,3.13168,2.41181,0.19541,0.37691,0.22848,0.10584,1.83315,2.49371,2.28721,0.00901,0.00901,0.00901
7,139.195,1.96868,2.92429,2.27756,0.21773,0.46845,0.2459,0.12161,1.74314,2.52241,2.21373,0.008812,0.008812,0.008812
8,160.053,1.86767,2.80014,2.21303,0.36915,0.36215,0.34424,0.18465,1.62669,2.29894,2.07333,0.008614,0.008614,0.008614
9,181.108,1.8031,2.77642,2.13167,0.41663,0.34804,0.35796,0.18859,1.66691,2.26237,2.09362,0.008416,0.008416,0.008416
10,202.063,1.74275,2.6443,2.06503,0.3492,0.44795,0.3578,0.19254,1.5827,2.38948,2.00006,0.008218,0.008218,0.008218
11,223.773,1.68939,2.50874,2.00006,0.39534,0.44981,0.39023,0.2166,1.54215,2.12357,1.96626,0.00802,0.00802,0.00802
12,247.27,1.64901,2.49287,1.98012,0.44377,0.39459,0.42951,0.2515,1.50271,2.16367,1.92043,0.007822,0.007822,0.007822
13,271.134,1.62172,2.41016,1.93726,0.41335,0.4114,0.42406,0.25773,1.40453,2.15865,1.84689,0.007624,0.007624,0.007624
14,293.921,1.57253,2.34003,1.90738,0.38131,0.48981,0.43111,0.26792,1.3947,1.92879,1.79161,0.007426,0.007426,0.007426
15,316.919,1.56834,2.28845,1.87472,0.41335,0.52686,0.47381,0.28392,1.41911,1.80046,1.84525,0.007228,0.007228,0.007228
16,339.66,1.54217,2.22767,1.86042,0.48815,0.58433,0.50796,0.2962,1.39284,1.74577,1.81242,0.00703,0.00703,0.00703
17,362.596,1.51811,2.20851,1.83585,0.45413,0.58288,0.52463,0.33159,1.34593,1.62421,1.74807,0.006832,0.006832,0.006832
18,385.556,1.50325,2.15764,1.81796,0.49571,0.57397,0.55333,0.33932,1.36238,1.63098,1.7584,0.006634,0.006634,0.006634
19,408.646,1.48373,2.15416,1.81853,0.49075,0.56609,0.54137,0.33123,1.32592,1.66841,1.78339,0.006436,0.006436,0.006436
20,431.332,1.45919,2.08211,1.78292,0.46535,0.63593,0.53866,0.33998,1.28605,1.70212,1.70743,0.006238,0.006238,0.006238
21,454.452,1.46002,2.09103,1.77755,0.49686,0.5749,0.56168,0.36326,1.29576,1.55521,1.70265,0.00604,0.00604,0.00604
22,477.586,1.439,2.05194,1.76362,0.49924,0.6009,0.56016,0.36183,1.24778,1.63777,1.66989,0.005842,0.005842,0.005842
23,500.973,1.42876,1.99071,1.75311,0.57735,0.61579,0.63426,0.40596,1.27652,1.43946,1.67608,0.005644,0.005644,0.005644
24,526.01,1.41178,2.00908,1.73441,0.51446,0.67838,0.59846,0.39113,1.22518,1.50416,1.64545,0.005446,0.005446,0.005446
25,549.805,1.37886,1.89602,1.70544,0.50247,0.6338,0.56808,0.36513,1.26866,1.65039,1.63351,0.005248,0.005248,0.005248
26,572.943,1.35976,1.9111,1.70113,0.55955,0.67296,0.65297,0.42435,1.24742,1.39853,1.64322,0.00505,0.00505,0.00505
27,596.23,1.36252,1.88389,1.68776,0.6123,0.64143,0.64974,0.43216,1.20951,1.42053,1.60923,0.004852,0.004852,0.004852
28,619.948,1.3285,1.84073,1.65974,0.56511,0.67525,0.64232,0.42529,1.17575,1.3674,1.5886,0.004654,0.004654,0.004654
29,643.989,1.35035,1.82852,1.67491,0.55349,0.6951,0.65397,0.4432,1.18635,1.40474,1.59587,0.004456,0.004456,0.004456
30,668.195,1.34302,1.81931,1.6785,0.61731,0.70544,0.70762,0.4693,1.19056,1.29851,1.59141,0.004258,0.004258,0.004258
31,692.063,1.30812,1.76201,1.64483,0.72054,0.64209,0.71857,0.48955,1.18989,1.25444,1.58605,0.00406,0.00406,0.00406
32,716.908,1.3316,1.80313,1.65776,0.64689,0.64493,0.70852,0.47411,1.18259,1.27152,1.59473,0.003862,0.003862,0.003862
33,741.354,1.29283,1.73562,1.63897,0.66819,0.66976,0.7208,0.50182,1.15717,1.23198,1.55207,0.003664,0.003664,0.003664
34,765.514,1.28562,1.73417,1.61871,0.66829,0.68429,0.7359,0.50728,1.15188,1.21753,1.54813,0.003466,0.003466,0.003466
35,790.452,1.26927,1.67908,1.61332,0.71727,0.70747,0.75817,0.52534,1.14748,1.16997,1.53846,0.003268,0.003268,0.003268
36,815.101,1.25824,1.66366,1.59756,0.70762,0.68493,0.72579,0.49761,1.13483,1.2489,1.54149,0.00307,0.00307,0.00307
37,839.3,1.2358,1.63595,1.58502,0.67919,0.71313,0.74835,0.51689,1.14265,1.18158,1.54509,0.002872,0.002872,0.002872
38,863.369,1.24452,1.63241,1.59093,0.68515,0.69166,0.75081,0.53416,1.10839,1.16156,1.51657,0.002674,0.002674,0.002674
39,887.144,1.22118,1.59193,1.57938,0.72246,0.72447,0.76961,0.53973,1.13974,1.13942,1.53513,0.002476,0.002476,0.002476
40,910.924,1.23376,1.61589,1.57943,0.72435,0.71674,0.76874,0.54217,1.11738,1.14326,1.51506,0.002278,0.002278,0.002278
41,937.515,1.12693,1.3819,1.53424,0.80592,0.72406,0.80781,0.573,1.0977,1.06588,1.50238,0.00208,0.00208,0.00208
42,961.991,1.10168,1.33143,1.51688,0.75117,0.7598,0.80818,0.57996,1.09599,1.04622,1.51177,0.001882,0.001882,0.001882
43,985.189,1.09299,1.29095,1.51398,0.73353,0.77007,0.80905,0.58219,1.07503,1.02728,1.48667,0.001684,0.001684,0.001684
44,1009.96,1.0678,1.27995,1.49935,0.77639,0.77036,0.81272,0.58532,1.08546,1.02099,1.49249,0.001486,0.001486,0.001486
45,1035.24,1.06545,1.25632,1.47619,0.82273,0.75242,0.83161,0.60824,1.05642,0.98618,1.46109,0.001288,0.001288,0.001288
46,1059.45,1.04552,1.22517,1.46402,0.7858,0.78934,0.83793,0.60794,1.05473,0.98763,1.46272,0.00109,0.00109,0.00109
47,1083.65,1.04191,1.2056,1.45004,0.7996,0.77856,0.84023,0.60965,1.05919,0.9726,1.47061,0.000892,0.000892,0.000892
48,1108.35,1.03854,1.19667,1.45383,0.78543,0.78561,0.82529,0.59787,1.06301,0.97921,1.46916,0.000694,0.000694,0.000694
49,1132.4,1.0198,1.1808,1.44284,0.80906,0.79611,0.85241,0.61982,1.04997,0.95961,1.46126,0.000496,0.000496,0.000496
50,1156.37,1.02032,1.162,1.43184,0.81388,0.79269,0.85304,0.62956,1.02794,0.93822,1.44038,0.000298,0.000298,0.000298
