epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1705,1.19875,3.24534,1.45023,0.44912,0.45741,0.44063,0.29411,1.20306,2.2197,1.49904,0.000166223,0.000166223,0.000166223
2,92.8986,1.23254,2.16751,1.42243,0.48161,0.49613,0.48854,0.32586,1.29725,2.02963,1.62276,0.000329594,0.000329594,0.000329594
3,136.147,1.26153,2.01479,1.45304,0.55811,0.43192,0.48696,0.3137,1.32768,2.0213,1.59194,0.000489666,0.000489666,0.000489666
4,179.214,1.27031,1.90373,1.43768,0.64732,0.5335,0.59077,0.39795,1.21473,1.76944,1.4923,0.00048515,0.00048515,0.00048515
5,222.081,1.22565,1.78005,1.41695,0.61823,0.63523,0.65871,0.43489,1.22909,1.5998,1.49881,0.0004802,0.0004802,0.0004802
6,265.237,1.2242,1.66854,1.40363,0.70211,0.6225,0.6937,0.47816,1.11697,1.35609,1.40598,0.00047525,0.00047525,0.00047525
7,308.25,1.21871,1.65329,1.39604,0.61284,0.63631,0.67158,0.46147,1.1737,1.36177,1.46355,0.0004703,0.0004703,0.0004703
8,351.041,1.15115,1.51425,1.35062,0.78553,0.59321,0.70334,0.49113,1.11314,1.31996,1.39869,0.00046535,0.00046535,0.00046535
9,393.829,1.1474,1.45079,1.34412,0.75945,0.62725,0.71608,0.50244,1.10799,1.28967,1.38486,0.0004604,0.0004604,0.0004604
10,436.711,1.12487,1.42068,1.33974,0.7745,0.62689,0.73137,0.50349,1.11027,1.24734,1.37647,0.00045545,0.00045545,0.00045545
11,479.56,1.13642,1.39489,1.34183,0.80239,0.6492,0.76877,0.54208,1.11473,1.20198,1.37643,0.0004505,0.0004505,0.0004505
12,523.123,1.08645,1.35068,1.30368,0.7613,0.69867,0.77821,0.54974,1.09007,1.1498,1.36874,0.00044555,0.00044555,0.00044555
13,566.239,1.05857,1.29774,1.28776,0.81797,0.73384,0.78846,0.56301,1.06844,1.11601,1.3525,0.0004406,0.0004406,0.0004406
14,609.038,1.07633,1.27812,1.30175,0.78044,0.67864,0.78182,0.56441,1.08274,1.16327,1.33458,0.00043565,0.00043565,0.00043565
15,651.934,1.05987,1.23534,1.28614,0.76958,0.7247,0.78846,0.56026,1.0595,1.11382,1.35949,0.0004307,0.0004307,0.0004307
16,694.829,1.08917,1.24324,1.30053,0.79173,0.71416,0.80571,0.57162,1.06891,1.07894,1.32808,0.00042575,0.00042575,0.00042575
17,737.64,1.03997,1.18863,1.27353,0.81811,0.72214,0.80995,0.58383,1.05857,1.00914,1.30889,0.0004208,0.0004208,0.0004208
18,780.42,1.03998,1.16583,1.27305,0.81806,0.72056,0.82091,0.59072,1.02295,0.99568,1.29239,0.00041585,0.00041585,0.00041585
19,823.253,1.02654,1.13736,1.26156,0.84298,0.70503,0.82126,0.5881,1.02141,1.02156,1.28252,0.0004109,0.0004109,0.0004109
20,866.151,1.02258,1.13014,1.26125,0.82125,0.77147,0.82884,0.59132,1.00949,1.01122,1.29382,0.00040595,0.00040595,0.00040595
21,909.255,0.99974,1.09685,1.23905,0.88846,0.72902,0.84045,0.61032,1.03456,0.97172,1.30282,0.000401,0.000401,0.000401
22,952.127,1.0097,1.10846,1.24846,0.87069,0.71872,0.82798,0.58865,1.01188,0.96838,1.28586,0.00039605,0.00039605,0.00039605
23,994.934,1.00041,1.09614,1.24514,0.80128,0.77343,0.84189,0.617,0.98773,0.94942,1.26721,0.0003911,0.0003911,0.0003911
24,1037.87,0.98676,1.08697,1.24087,0.87359,0.71329,0.84227,0.60827,1.02056,0.93868,1.28965,0.00038615,0.00038615,0.00038615
